package,observed_versions,script_count,referenced_by
ranger,not recorded in available sessionInfo,1,03_CODE/04_machine_learning/01_cap3_ml_models.R
readr,2.1.5,2,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
scales,1.4.0,11,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R | 03_CODE/07_energy_projection/01_cap4_quarterly_scenario_2022Q3_2028Q4.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/02E_quality_control_daily_density_wpd.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/03F_weibull_rayleigh_distribution_fitting.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/04G_publication_ready_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/05H_final_distribution_and_publication_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/06I_acf_pacf_temporal_dependence.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/07J_fft_spectral_analysis.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
sf,1.1-0,2,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
stringr,1.5.1,13,03_CODE/01_preprocessing/01_build_station_hour_dataset.R | 03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/00C_datetime_parser_validation.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/01D_density_overlap_strategy.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/02E_quality_control_daily_density_wpd.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/03F_weibull_rayleigh_distribution_fitting.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/04G_publication_ready_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/05H_final_distribution_and_publication_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/06I_acf_pacf_temporal_dependence.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/07J_fft_spectral_analysis.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
svglite,2.2.2,3,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R
tensorflow,not recorded in available sessionInfo,1,03_CODE/05_deep_learning/01_cap3_dl_pipeline.R
terra,1.9-11,2,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
tibble,3.3.0,1,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R
xgboost,not recorded in available sessionInfo,1,03_CODE/04_machine_learning/01_cap3_ml_models.R
zoo,1.8-15,4,03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R | 03_CODE/06_hybrid_tdq/01_cap3_tdq_piess_kfas.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/06I_acf_pacf_temporal_dependence.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/07J_fft_spectral_analysis.R
