zone,date_month,year_month,mean_VV,median_VV,mean_WPD,median_WPD,n_records,zona
2,2018-05-01,2018-05,2.21690748207885,2.13333333333333,10.452273356392,5.33997037037037,1488,Zona 2
2,2018-06-01,2018-06,2.90428173449612,2.83333333333333,20.1435400538456,12.5099537037037,1376,Zona 2
2,2018-07-01,2018-07,2.86864391951006,2.83333333333333,23.8850683720278,12.5099537037037,1524,Zona 2
2,2018-08-01,2018-08,3.29958521491888,3.2,32.8887400931444,18.0224,1993,Zona 2
2,2018-09-01,2018-09,2.85924605036759,2.76666666666667,22.8413511867685,11.647512962963,2131,Zona 2
2,2018-10-01,2018-10,2.09967373327319,1.81666666666667,10.3597360254506,3.2975275462963,2217,Zona 2
2,2018-11-01,2018-11,1.84560254027262,1.56666666666667,7.05823529446082,2.11491296296296,2152,Zona 2
2,2018-12-01,2018-12,2.53919902543018,2.4,16.7441036086172,7.6032,2189,Zona 2
2,2019-01-01,2019-01,2.54329770003239,2.38333333333333,17.0453591059587,7.4458974537037,2058,Zona 2
2,2019-02-01,2019-02,2.31520606884058,2.2,11.2038346527615,5.8564,1472,Zona 2
2,2019-03-01,2019-03,2.3978602981778,2.25,13.9919916046333,6.26484375,1811,Zona 2
2,2019-04-01,2019-04,2.06888535031847,1.65,11.0967424880219,2.47066875,1256,Zona 2
2,2019-05-01,2019-05,2.07737359550562,1.73333333333333,11.2165606168852,2.86423703703704,1424,Zona 2
2,2019-06-01,2019-06,2.81095374344301,2.5,25.1328819740131,8.59375,1398,Zona 2
2,2019-07-01,2019-07,3.95232706310679,2.98333333333333,172.369666714393,14.6038724537037,1648,Zona 2
2,2019-08-01,2019-08,6.21974187725632,3.95833333333333,502.176270586073,34.1118721064815,2770,Zona 2
2,2019-09-01,2019-09,4.95144720235591,3.48333333333333,255.087630949261,23.2459766203704,2377,Zona 2
2,2019-10-01,2019-10,3.50732342657343,2.58333333333333,91.5455451230102,9.48208912037037,2860,Zona 2
2,2019-11-01,2019-11,2.88217740033027,2.05,83.6650045430187,4.73831875,2826,Zona 2
2,2019-12-01,2019-12,3.42740747460087,2.28333333333333,116.720097368464,6.54742662037037,2756,Zona 2
2,2020-01-01,2020-01,3.57334217506632,2.56666666666667,162.587625040101,9.2997462962963,2639,Zona 2
2,2020-02-01,2020-02,3.97559365950312,2.88333333333333,146.155982322795,13.1840016203704,2187,Zona 2
2,2020-03-01,2020-03,3.05119124122338,2.41666666666667,53.9482566024378,7.7627025462963,2801,Zona 2
2,2020-04-01,2020-04,3.64811984687868,2.62666666666667,128.088860444375,9.96749371851852,2264,Zona 2
2,2020-05-01,2020-05,2.7946571682992,2.1,45.6040277907687,5.09355,1123,Zona 2
2,2020-06-01,2020-06,2.19725714285714,1.70833333333333,12.9839745699365,2.74227835648148,700,Zona 2
2,2020-07-01,2020-07,2.21134986225895,1.7,13.3624814279461,2.70215,726,Zona 2
2,2020-08-01,2020-08,2.29261453396525,1.81666666666667,13.9715376184527,3.2975275462963,422,Zona 2
2,2020-09-01,2020-09,2.26424063116371,1.69,14.4319984905435,2.6550238,676,Zona 2
2,2020-10-01,2020-10,2.27284204965663,1.73333333333333,13.9450677783207,2.86423703703704,631,Zona 2
2,2020-11-01,2020-11,1.96451898075923,1.43333333333333,10.4993143160022,1.61958703703704,641,Zona 2
2,2020-12-01,2020-12,1.88846899224806,1.53333333333333,8.04683435582471,1.98277037037037,688,Zona 2
2,2021-01-01,2021-01,2.02557956777996,1.5,10.5314252697446,1.85625,509,Zona 2
2,2021-02-01,2021-02,1.95153110047847,1.43333333333333,9.65518874239767,1.62024398148148,418,Zona 2
2,2021-03-01,2021-03,1.8572268907563,1.41666666666667,9.24617857863368,1.56374421296296,357,Zona 2
2,2021-04-01,2021-04,1.79395873629916,1.45,7.32930867159182,1.67674375,517,Zona 2
2,2021-05-01,2021-05,2.38599545798638,2.2,14.3709984932627,5.8564,1321,Zona 2
2,2021-06-01,2021-06,2.30831671651711,2.06666666666667,13.7030932261872,4.85482962962963,2006,Zona 2
2,2021-07-01,2021-07,2.84030932594645,2.76666666666667,21.8456599038293,11.647512962963,2166,Zona 2
2,2021-08-01,2021-08,2.75080531126056,2.6,21.1475794416201,9.6668,1933,Zona 2
2,2021-09-01,2021-09,2.83633296863603,2.65,22.6149248992898,10.23529375,1828,Zona 2
2,2021-10-01,2021-10,2.27173097826087,2.01666666666667,12.9482435998811,4.51091921296296,1840,Zona 2
2,2021-11-01,2021-11,1.85519011773789,1.55,7.36278755475349,2.04813125,1727,Zona 2
2,2021-12-01,2021-12,1.86250255780642,1.65,6.78315330629932,2.47066875,1629,Zona 2
2,2022-01-01,2022-01,2.00952057892356,1.65,10.190324419707,2.47066875,737,Zona 2
2,2022-02-01,2022-02,1.93217380952381,1.73333333333333,7.67231621978441,2.86423703703704,1400,Zona 2
2,2022-03-01,2022-03,1.6275956284153,1.33333333333333,5.43705083864603,1.3037037037037,183,Zona 2
2,2022-04-01,2022-04,2.04326609775019,1.81666666666667,9.32028791276506,3.2975275462963,1289,Zona 2
2,2022-05-01,2022-05,2.21122043010752,1.96666666666667,12.1417123376307,4.1836462962963,930,Zona 2
2,2022-06-01,2022-06,2.05790281329923,1.81666666666667,9.60683350195368,3.2975275462963,782,Zona 2
2,2022-07-01,2022-07,1.55,1.55,2.207975,2.207975,2,Zona 2
3,2017-01-01,2017-01,2.12213109354414,1.78333333333333,14.6338308379026,3.1193224537037,1012,Zona 3
3,2017-02-01,2017-02,2.39347892928197,1.8,34.8333229166671,3.2076,1843,Zona 3
3,2017-03-01,2017-03,1.96062519343856,1.6,12.7726241889156,2.2528,2154,Zona 3
3,2017-04-01,2017-04,2.60225272124941,2.03333333333333,34.9057420122889,4.62368703703704,2113,Zona 3
3,2017-05-01,2017-05,2.28085264273815,1.81666666666667,27.3503363351515,3.2975275462963,2201,Zona 3
3,2017-06-01,2017-06,2.63202344284737,1.98333333333333,36.9054538657453,4.29091412037037,1948,Zona 3
3,2017-07-01,2017-07,3.59620689655172,2.41666666666667,109.407051596448,7.7627025462963,1914,Zona 3
3,2017-08-01,2017-08,2.93195742471444,2.2,49.8284413207669,5.8564,1926,Zona 3
3,2017-09-01,2017-09,3.02293280447971,2.25,48.9565879171777,6.26484375,2143,Zona 3
3,2017-10-01,2017-10,2.82044942108471,2.15,48.0975578626237,5.46610625,2188,Zona 3
3,2017-11-01,2017-11,2.24985339506173,1.73333333333333,25.1326793863108,2.86423703703704,2160,Zona 3
3,2017-12-01,2017-12,2.31995277642078,1.85,23.348052148855,3.48239375,2047,Zona 3
3,2018-01-01,2018-01,2.41322879330944,1.86666666666667,27.1778760881803,3.57736296296296,2232,Zona 3
3,2018-02-01,2018-02,2.21184045018206,1.83333333333333,16.7321875530807,3.38912037037037,2014,Zona 3
3,2018-03-01,2018-03,2.5737382339758,1.98333333333333,33.1518014471363,4.29091412037037,2231,Zona 3
3,2018-04-01,2018-04,2.59363962202671,1.93333333333333,35.5414149123033,3.9745037037037,2046,Zona 3
3,2018-05-01,2018-05,2.39958353317346,1.88333333333333,22.1566942442678,3.67404328703704,2085,Zona 3
3,2018-06-01,2018-06,3.21920422031474,2.33333333333333,55.0402250859639,6.98703703703704,1864,Zona 3
3,2018-07-01,2018-07,3.52929217668973,2.61666666666667,72.2344848280225,9.85389421296296,1879,Zona 3
3,2018-08-01,2018-08,4.12353008689949,2.8,136.058644299251,12.0736,2033,Zona 3
3,2018-09-01,2018-09,3.3572690240943,2.35,72.4821346968585,7.13783125,1923,Zona 3
3,2018-10-01,2018-10,2.45681763285024,1.93333333333333,26.8963762813221,3.9745037037037,2208,Zona 3
3,2018-11-01,2018-11,2.18256327160494,1.68333333333333,20.0971206040132,2.62345162037037,2160,Zona 3
3,2018-12-01,2018-12,2.68911589008363,2.05,35.4436249733207,4.73831875,2232,Zona 3
3,2019-01-01,2019-01,2.9715307646356,2.11666666666667,54.4804490847679,5.2157900462963,2232,Zona 3
3,2019-02-01,2019-02,2.43337301587302,1.95,22.891575799559,4.07818125,2016,Zona 3
3,2019-03-01,2019-03,2.70491245622812,2.2,29.7915532896892,5.8564,1999,Zona 3
3,2019-04-01,2019-04,2.7968912037037,2.45,31.9529333347826,8.08836875,1440,Zona 3
3,2019-05-01,2019-05,2.82957661290323,2.4,34.3358251577619,7.6032,1488,Zona 3
3,2019-06-01,2019-06,4.34196875000001,2.98333333333333,173.139883290652,14.6038724537037,1440,Zona 3
3,2019-07-01,2019-07,3.75772282608695,3.05,76.5370061512953,15.60494375,1840,Zona 3
3,2019-08-01,2019-08,3.50777759598605,2.95,70.5502518529242,14.11980625,3056,Zona 3
3,2019-09-01,2019-09,3.11409144334744,2.53333333333333,46.724043161279,8.94210370370371,2836,Zona 3
3,2019-10-01,2019-10,2.31439486326682,1.85,21.1215040952644,3.48239375,3608,Zona 3
3,2019-11-01,2019-11,2.18488653787181,1.73333333333333,18.6849928319973,2.86423703703704,3261,Zona 3
3,2019-12-01,2019-12,2.24813322368421,1.81666666666667,19.7976818994776,3.2975275462963,3648,Zona 3
3,2020-01-01,2020-01,2.86757464443817,2.21666666666667,43.9698855876257,5.99051087962963,3539,Zona 3
3,2020-02-01,2020-02,2.48283302161264,1.98333333333333,27.120548807432,4.29091412037037,3208,Zona 3
3,2020-03-01,2020-03,2.24575463212808,1.83333333333333,19.9865361560251,3.38912037037037,3706,Zona 3
3,2020-04-01,2020-04,2.35185493739998,1.91666666666667,20.6711121799758,3.87259837962963,3541,Zona 3
3,2020-05-01,2020-05,2.48407836935512,2.13333333333333,21.0885396150247,5.33997037037037,1897,Zona 3
3,2020-06-01,2020-06,2.46729166666667,2.15,19.2244523620756,5.46610625,1440,Zona 3
3,2020-07-01,2020-07,2.61293682795699,2.33333333333333,23.6219982410208,6.98703703703704,1488,Zona 3
3,2020-08-01,2020-08,2.84327302250058,2.51666666666667,30.0819554146047,8.76677337962964,1437,Zona 3
3,2020-09-01,2020-09,2.65078996718237,2.35,23.9381409162278,7.13783125,1422,Zona 3
3,2020-10-01,2020-10,2.7085296506905,2.35,25.1215026107952,7.13783125,1231,Zona 3
3,2020-11-01,2020-11,1.94905092592593,1.525,10.0459310027649,1.95079270833333,720,Zona 3
3,2020-12-01,2020-12,2.43748326639893,2.075,16.2807961215231,4.91403229166667,498,Zona 3
3,2021-01-01,2021-01,,,,,,Zona 3
3,2021-02-01,2021-02,,,,,,Zona 3
3,2021-03-01,2021-03,,,,,,Zona 3
3,2021-04-01,2021-04,2.21869318181818,2.125,13.8781746767361,5.279828125,176,Zona 3
3,2021-05-01,2021-05,1.76844128329298,1.48333333333333,7.79397670562408,1.7950599537037,1652,Zona 3
3,2021-06-01,2021-06,1.59273232784888,1.33666666666667,5.20734604827226,1.31353045185185,2188,Zona 3
3,2021-07-01,2021-07,2.01403034613561,1.76666666666667,9.28814922251465,3.03267962962963,2109,Zona 3
3,2021-08-01,2021-08,1.95549201810817,1.58333333333333,11.0562395767877,2.18313078703704,1399,Zona 3
3,2021-09-01,2021-09,1.7827333796618,1.41666666666667,7.91498995556586,1.56374421296296,1439,Zona 3
3,2021-10-01,2021-10,1.43439246658566,1.06666666666667,4.08623978573309,0.667496296296296,1646,Zona 3
3,2021-11-01,2021-11,1.42635468433646,1.11666666666667,3.791049414172,0.765831712962964,1811,Zona 3
3,2021-12-01,2021-12,1.44662658032686,1.18333333333333,3.63188314145166,0.911347453703704,2162,Zona 3
3,2022-01-01,2022-01,1.60402116402116,1.25,5.19941134991182,1.07421875,567,Zona 3
3,2022-02-01,2022-02,1.35956474190726,1.1,2.92844058737363,0.73205,1524,Zona 3
3,2022-03-01,2022-03,1.18726851851852,0.816666666666667,2.37783804256687,0.301066435185185,72,Zona 3
3,2022-04-01,2022-04,1.49748272070374,1.28333333333333,4.06087747133611,1.16246828703704,2122,Zona 3
3,2022-05-01,2022-05,1.61734124740908,1.33333333333333,6.51254773854056,1.3037037037037,1769,Zona 3
3,2022-06-01,2022-06,1.71671536796537,1.35,7.62978616864252,1.35320625,924,Zona 3
3,2022-07-01,2022-07,1,1,0.616,0.616,2,Zona 3
4,2017-01-01,2017-01,3.28606666666667,3.45166666666667,32.7491237630741,22.6234525101852,300,Zona 4
4,2017-02-01,2017-02,3.45855165069223,3.65,36.9792461696545,26.74491875,626,Zona 4
4,2017-03-01,2017-03,2.57863342566944,2.3,20.1478322167487,6.69185,722,Zona 4
4,2017-04-01,2017-04,3.29046296296296,3.51666666666667,37.2376109207305,23.919731712963,720,Zona 4
4,2017-05-01,2017-05,2.9388440860215,2.68333333333333,29.3426607041517,10.6264099537037,744,Zona 4
