zone,zona,variable,diagnostic,lag,value
2,Zona 2,VV,PACF,24,0.0367028887546828
2,Zona 2,VV,PACF,25,-0.00180574998741927
2,Zona 2,VV,PACF,26,0.00513021361529998
2,Zona 2,VV,PACF,27,-0.0271281336506939
2,Zona 2,VV,PACF,28,0.0171983899116354
2,Zona 2,VV,PACF,29,0.0228895840414438
2,Zona 2,VV,PACF,30,-0.00128283947456838
2,Zona 2,VV,PACF,31,-0.0171779769936901
2,Zona 2,VV,PACF,32,-0.0199914515116225
2,Zona 2,VV,PACF,33,-0.00701467041130141
2,Zona 2,VV,PACF,34,-0.0334119413035432
2,Zona 2,VV,PACF,35,-0.0225873308637111
2,Zona 2,VV,PACF,36,-0.0206068363819392
2,Zona 2,VV,PACF,37,-0.0172014513694601
2,Zona 2,VV,PACF,38,-0.0204815376216681
2,Zona 2,VV,PACF,39,0.0113248474167585
2,Zona 2,VV,PACF,40,0.0357155113182421
2,Zona 2,VV,PACF,41,-0.0236730028808789
2,Zona 2,VV,PACF,42,0.0250239093119662
2,Zona 2,VV,PACF,43,0.0511137586847679
2,Zona 2,VV,PACF,44,0.0200117101727153
2,Zona 2,VV,PACF,45,0.00509840402259739
2,Zona 2,VV,PACF,46,-0.024433514769087
2,Zona 2,VV,PACF,47,-0.0325722216592753
2,Zona 2,VV,PACF,48,0.0245874713662495
2,Zona 2,VV,PACF,49,-0.0110930940293023
2,Zona 2,VV,PACF,50,-0.0301294110746896
2,Zona 2,VV,PACF,51,0.063093185289633
2,Zona 2,VV,PACF,52,0.0351717615322372
2,Zona 2,VV,PACF,53,-0.0828029820316065
2,Zona 2,VV,PACF,54,-0.0517256864603533
2,Zona 2,VV,PACF,55,-0.010086087658102
2,Zona 2,VV,PACF,56,-0.06319168430727
2,Zona 2,VV,PACF,57,-0.0344980312507144
2,Zona 2,VV,PACF,58,-0.00535708026345756
2,Zona 2,VV,PACF,59,-0.0443194303784512
2,Zona 2,VV,PACF,60,-0.0276526500776588
2,Zona 2,WPD,PACF,1,0.881756920910821
2,Zona 2,WPD,PACF,2,-0.117495984678632
2,Zona 2,WPD,PACF,3,0.217600080448221
2,Zona 2,WPD,PACF,4,0.130051694127536
2,Zona 2,WPD,PACF,5,-0.0349292787522949
2,Zona 2,WPD,PACF,6,0.146243682978733
2,Zona 2,WPD,PACF,7,0.0551522893223119
2,Zona 2,WPD,PACF,8,-0.043580082393093
2,Zona 2,WPD,PACF,9,-0.024711324612258
2,Zona 2,WPD,PACF,10,0.0467138111657279
2,Zona 2,WPD,PACF,11,-0.139740347432362
2,Zona 2,WPD,PACF,12,0.127501497342753
2,Zona 2,WPD,PACF,13,0.0487406804029327
2,Zona 2,WPD,PACF,14,0.102210038275625
2,Zona 2,WPD,PACF,15,0.0622866886900096
2,Zona 2,WPD,PACF,16,0.0689917094197116
2,Zona 2,WPD,PACF,17,0.0319867817295101
2,Zona 2,WPD,PACF,18,0.0494842113915434
2,Zona 2,WPD,PACF,19,-0.0625410254844956
2,Zona 2,WPD,PACF,20,0.0225031380717911
2,Zona 2,WPD,PACF,21,-0.0200850020322213
2,Zona 2,WPD,PACF,22,0.0102570320188041
2,Zona 2,WPD,PACF,23,0.154281574390433
2,Zona 2,WPD,PACF,24,0.0672578778094807
2,Zona 2,WPD,PACF,25,-0.066932827358422
2,Zona 2,WPD,PACF,26,-0.0292433682965918
2,Zona 2,WPD,PACF,27,-0.0470815704676009
2,Zona 2,WPD,PACF,28,-0.0219842842533704
2,Zona 2,WPD,PACF,29,0.00627021853022001
2,Zona 2,WPD,PACF,30,0.0182039614653618
2,Zona 2,WPD,PACF,31,-0.0504464095477743
2,Zona 2,WPD,PACF,32,-0.0198083128748717
2,Zona 2,WPD,PACF,33,-0.0584008688373448
2,Zona 2,WPD,PACF,34,-0.0382213122841809
2,Zona 2,WPD,PACF,35,0.0232413516782086
2,Zona 2,WPD,PACF,36,-0.068843606893457
2,Zona 2,WPD,PACF,37,-0.00420432565921504
2,Zona 2,WPD,PACF,38,-0.0744774402774998
2,Zona 2,WPD,PACF,39,-0.0288700993675126
2,Zona 2,WPD,PACF,40,0.0571996012918134
2,Zona 2,WPD,PACF,41,0.00738683492423434
2,Zona 2,WPD,PACF,42,0.01292436583262
2,Zona 2,WPD,PACF,43,0.0764896399088658
2,Zona 2,WPD,PACF,44,0.0825102359375403
2,Zona 2,WPD,PACF,45,0.0198493389395123
2,Zona 2,WPD,PACF,46,-0.0308502188738534
2,Zona 2,WPD,PACF,47,-0.0712427427699962
2,Zona 2,WPD,PACF,48,-0.0701628236411496
2,Zona 2,WPD,PACF,49,-0.047483638889852
2,Zona 2,WPD,PACF,50,0.0365093683472807
2,Zona 2,WPD,PACF,51,-0.00321588787138618
2,Zona 2,WPD,PACF,52,0.0507580811824285
2,Zona 2,WPD,PACF,53,-0.0303605648635129
2,Zona 2,WPD,PACF,54,-0.0223340784038652
2,Zona 2,WPD,PACF,55,-0.0446656221954817
2,Zona 2,WPD,PACF,56,0.00649356232964944
2,Zona 2,WPD,PACF,57,0.0305851087667772
2,Zona 2,WPD,PACF,58,-0.0654849884219007
2,Zona 2,WPD,PACF,59,0.0262523191416329
2,Zona 2,WPD,PACF,60,0.00379833473431401
3,Zona 3,VV,PACF,1,0.742443545157484
3,Zona 3,VV,PACF,2,-0.0220429689207176
3,Zona 3,VV,PACF,3,0.0965768655147176
3,Zona 3,VV,PACF,4,0.0860879182942104
3,Zona 3,VV,PACF,5,0.0776049323994878
3,Zona 3,VV,PACF,6,0.0188566946668719
3,Zona 3,VV,PACF,7,0.0559682810884248
3,Zona 3,VV,PACF,8,0.0176284678258266
3,Zona 3,VV,PACF,9,0.047538130488204
3,Zona 3,VV,PACF,10,0.0329659308118651
3,Zona 3,VV,PACF,11,0.036236931624799
3,Zona 3,VV,PACF,12,-0.00589827044375374
3,Zona 3,VV,PACF,13,0.0145622251781848
3,Zona 3,VV,PACF,14,0.03017289932988
3,Zona 3,VV,PACF,15,0.0788649358304613
3,Zona 3,VV,PACF,16,0.0494126235813773
3,Zona 3,VV,PACF,17,0.0430329929080343
3,Zona 3,VV,PACF,18,0.0146371619768118
3,Zona 3,VV,PACF,19,0.0343540160144466
3,Zona 3,VV,PACF,20,-0.0379518232105075
3,Zona 3,VV,PACF,21,-0.00813906792526168
3,Zona 3,VV,PACF,22,0.00231268444237269
3,Zona 3,VV,PACF,23,0.0185708840885019
3,Zona 3,VV,PACF,24,0.0545665709297417
3,Zona 3,VV,PACF,25,0.0302043813121162
3,Zona 3,VV,PACF,26,0.0151832335049706
3,Zona 3,VV,PACF,27,0.0292844241579403
3,Zona 3,VV,PACF,28,0.041755725570023
3,Zona 3,VV,PACF,29,0.00868663728503485
3,Zona 3,VV,PACF,30,0.0584416140313725
3,Zona 3,VV,PACF,31,-0.038801597783411
3,Zona 3,VV,PACF,32,-0.0219858238110001
3,Zona 3,VV,PACF,33,-0.0175812832671507
3,Zona 3,VV,PACF,34,0.0173449410723476
3,Zona 3,VV,PACF,35,0.00203382310334264
3,Zona 3,VV,PACF,36,0.0455450447507751
3,Zona 3,VV,PACF,37,-0.00634902037301502
3,Zona 3,VV,PACF,38,0.0135474434877902
3,Zona 3,VV,PACF,39,-0.00597274735991802
3,Zona 3,VV,PACF,40,-0.0272776961597083
3,Zona 3,VV,PACF,41,-0.0125685488555856
3,Zona 3,VV,PACF,42,0.0117804402341124
