Zona,Year,Quarter,days,WPD_mean,WPD_p50,E_free_kWh_m2,E_free_low_kWh_m2,E_free_high_kWh_m2,FNRR_q,coh_q,E_usable_kWh_m2,E_usable_low_kWh_m2,E_usable_high_kWh_m2
1,2027,2027Q4,92,1.01018281230107,1.02330034468245,2.23048364956077,0,17750.2712093251,0.103997023696868,0.896002976303132,1.99851998860192,0,15904.2958337431
1,2028,2028Q1,91,1.27105819635075,1.18744268149329,2.77599110083003,0,17557.3334787889,0.156198113616929,0.843801886383071,2.34238652746299,0,14814.9111092587
1,2028,2028Q2,91,1.47283353645183,1.4513716339048,3.21666844361079,0,17557.3334787889,0.118403319314775,0.881596680685225,2.83580422275218,0,15478.4869165839
1,2028,2028Q3,92,1.10903617830381,1.14560371496581,2.4487518816948,0,17750.2712093251,0.120995012757889,0.879004987242111,2.15246511652824,0,15602.5769178968
1,2028,2028Q4,92,1.01090445658756,1.03242673746276,2.23207704014533,0,17750.2712093251,0.103256871505341,0.896743128494659,2.00159974802102,0,15917.4337358788
2,2017,2017Q1,90,6.29847920766654,5.58667467958896,13.6047150885597,0,0,0.370414244436785,0.629585755563215,8.56533482825315,0,0
2,2017,2017Q2,91,12.2176461560846,10.8314681912411,26.6833392048888,0,0,0.397360747989924,0.602639252010076,16.0804275795653,0,0
2,2017,2017Q3,92,22.8062507930438,20.0983732011203,50.3562017510407,0,0,0.374890255406398,0.625109744593602,31.478152415297,0,0
2,2017,2017Q4,92,9.91725077286904,7.58931246093766,21.8972897064949,0,0,0.447286638029237,0.552713361970763,12.1029246117246,0,0
2,2018,2018Q1,90,11.4155196479005,7.84684410917335,24.6575224394652,0,0,0.484093314992779,0.515906685007221,12.7209806622356,0,0
2,2018,2018Q2,91,12.1705078362523,11.0646806685543,26.5803891143751,0,0,0.399435838813936,0.600564161186065,15.9632290924739,0,0
2,2018,2018Q3,92,19.2389223990779,18.7949959760077,42.479540657164,0,0,0.345421324918955,0.654578675081045,27.8062014414178,0,0
2,2018,2018Q4,92,7.32091995124926,6.01274958043255,16.1645912523584,0,0,0.453475658965971,0.546524341034029,8.83434258227958,0,0
2,2019,2019Q1,90,9.87402514037,8.63028396242412,21.3278943031992,0,0,0.401965549028248,0.598034450971752,12.7548155599973,0,0
2,2019,2019Q2,91,11.8470038107344,7.3818718107484,25.8738563226438,0,0,0.544151378484721,0.455848621515279,11.7945617379616,0,0
2,2019,2019Q3,92,85.8647924003451,78.2856742742515,189.589461619962,0,0,0.439654451967309,0.560345548032691,106.23561077266,0,0
2,2019,2019Q4,92,30.5821546323835,21.8434685818692,67.5253974283028,0,0,0.494894395727734,0.505105604272266,34.1074566717478,0,0
2,2020,2020Q1,91,39.8134648840675,17.0033129827176,86.9526073068035,0,0,0.539279599804499,0.460720400195502,40.0608400364328,0,0
2,2020,2020Q2,91,18.669697296979,10.7598598194919,40.7746188966022,0,0,0.577430902817499,0.422569097182501,17.2300938950977,0,0
2,2020,2020Q3,92,9.13196020810973,7.17362653754897,20.1633681395063,0,0,0.39825943448792,0.60174056551208,12.1331165468948,0,0
2,2020,2020Q4,92,6.64045876246282,4.90313198776033,14.6621329475179,0,0,0.437253683556678,0.562746316443322,8.25106130741796,0,0
2,2021,2021Q1,90,4.40332107708849,2.72496574534531,9.51117352651114,0,0,0.503319319979872,0.496680680020129,4.724016134937,0,0
2,2021,2021Q2,91,7.60870225476825,5.63003514392549,16.6174057244139,0,0,0.456452225517158,0.543547774482842,9.03235389918359,0,0
2,2021,2021Q3,92,14.8656295399385,14.1534573218234,32.8233100241842,0,0,0.361348619457258,0.638651380542742,20.9626522609277,0,0
2,2021,2021Q4,92,6.35376962525135,4.67979790970976,14.029123332555,0,0,0.447818182806441,0.552181817193559,7.74662681540277,0,0
2,2022,2022Q1,90,3.96863149345389,3.00612752800586,8.5722440258604,0,0,0.462199622322945,0.537800377677055,4.61015607464761,0,0
2,2022,2022Q2,91,8.90395913381569,6.24047111752837,19.4462467482535,0,0,0.500070404460433,0.499929595539567,9.72175427161697,0,0
2,2022,2022Q3,92,11.2199487046341,11.5909210897955,24.7736467398321,4.44325158304718,107.697248685177,0.152063430889338,0.847936569110662,21.0064810209328,3.76759550302454,91.3204355527668
2,2022,2022Q4,92,4.53337074982038,4.06265589585821,10.0096826156034,0.406207243901785,56.2524964388687,0.216721288213731,0.783278711786269,7.84037130453924,0.318173486721641,44.0613829453988
2,2023,2023Q1,90,4.24829124081547,4.22508847064219,9.17630908016141,0.0503842535497624,61.1207649476937,0.0858014429814414,0.914198557018559,8.38896851983986,0.0460612118916499,55.8765151190521
2,2023,2023Q2,91,5.24502290304907,5.13219064997638,11.4551300202592,0.0656247430844729,85.8432029803149,0.147664227600129,0.852335772399871,9.76361709375855,0.0559343160854473,73.1672327175056
2,2023,2023Q3,92,11.2188947369932,11.5181015386628,24.7713195792809,1.48211235812603,195.268787973829,0.152076328620756,0.847923671379244,21.0041882425724,1.25671815209877,165.573027604544
2,2023,2023Q4,92,4.5479263438703,4.06893867121052,10.0418213672656,0.021649948518353,98.2683828170935,0.219381196981428,0.780618803018572,7.8388345758412,0.0169003568978105,76.7101473692503
2,2024,2024Q1,91,4.24482278659241,4.22825365184503,9.27069296591782,0,103.50890993771,0.0855220479335402,0.91447795206646,8.47784431770947,0,94.6566159804685
2,2024,2024Q2,91,5.27360428473708,5.18768169299181,11.5175517578658,0,139.608412547285,0.148807318333614,0.851192681666386,9.80365576700919,0,118.833659059311
2,2024,2024Q3,92,11.2299701438487,11.4333046082612,24.795774077618,0.248691751218635,307.05019007115,0.150780147064718,0.849219852935283,21.0570636156112,0.211193972396107,260.753117255972
2,2024,2024Q4,92,4.51274903385322,4.04163024052786,9.96414986674792,0,150.975439765264,0.212779821820215,0.787220178179785,7.84397983351138,0,118.850912592783
2,2025,2025Q1,90,4.24458260541068,4.21658717796043,9.16829842768707,0,155.061801711883,0.0857205448801531,0.914279455119847,8.38238689084189,0,141.769819579042
2,2025,2025Q2,91,5.26441672395858,5.15551884601955,11.4974861251255,0,207.060082556968,0.148826642585101,0.851173357414899,9.78635386695433,0,176.244025656621
2,2025,2025Q3,92,11.2249784516201,11.474649601111,24.7847524211773,0,448.314469198921,0.15137638126705,0.84862361873295,21.0329262890597,0,380.45024718193
2,2025,2025Q4,92,4.525697237146,4.04226480198304,9.99273949961837,0,218.810733435448,0.215196921962834,0.784803078037166,7.84233271732407,0,171.72333710771
2,2026,2026Q1,90,4.24427156512877,4.23016677487929,9.16762658067814,0,221.474364042989,0.0857317997733425,0.914268200226658,8.38166945426667,0,202.486968209927
2,2026,2026Q2,91,5.25425647965475,5.13912976001143,11.475296151566,0,291.685295990203,0.147786101353013,0.852213898646987,9.77940687145479,0,248.578263273811
2,2026,2026Q3,92,11.2256174363849,11.4281201895512,24.7861632995379,0,625.666202156777,0.151296779262955,0.848703220737045,21.0360966220322,0,531.004920876772
2,2026,2026Q4,92,4.53569559966361,4.07456709552681,10.0148158840572,0,303.734731626826,0.216309386254275,0.783690613745725,7.84851720672727,0,238.03405824452
2,2027,2027Q1,90,4.24550525235369,4.25132902030003,9.17029134508398,0,304.343801981151,0.0853874259630589,0.914612574036941,8.38726377179594,0,278.35666812217
2,2027,2027Q2,91,5.24541356776016,5.13234768242563,11.4559832319882,0,396.704358967449,0.148077941484731,0.85192205851527,9.75960481731178,0,337.96119411353
2,2027,2027Q3,92,11.2235485708193,11.4932484692347,24.7815952443691,0,843.14081567399,0.151618990778439,0.848381009221562,21.0242347835381,0,715.30465611739
2,2027,2027Q4,92,4.54228429660115,4.077086555918,10.0293637268953,0,408.664841779482,0.217315612688296,0.782684387311704,7.8498264037113,0,319.855591304008
2,2028,2028Q1,91,4.24483281981267,4.22819709901149,9.27071487847088,0,411.007218550718,0.0855569847054792,0.914443015294521,8.47754046740469,0,375.842680239332
2,2028,2028Q2,91,5.27353446631287,5.15296319201079,11.5173992744273,0,529.054596965535,0.14870295468542,0.851297045314581,9.80472797202826,0,450.382615206856
2,2028,2028Q3,92,11.2266072229222,11.5973161070183,24.7883487482122,0,973.623662498378,0.151163085509638,0.848836914490362,21.0412654667434,0,826.44770554993
2,2028,2028Q4,92,4.51669567007945,4.07076869032455,9.97286403953543,0,534.545835504312,0.214085583891298,0.785914416108702,7.83781761856296,0,420.10727819371
3,2017,2017Q1,90,7.06263278255524,5.26013927749179,15.2552868103193,0,0,0.560025975925974,0.439974024074026,6.7119299263396,0,0
3,2017,2017Q2,91,11.4455863527252,7.19722210408337,24.9971605943519,0,0,0.522072392137857,0.477927607862143,11.9468331662044,0,0
3,2017,2017Q3,92,23.1667932421889,14.527107773749,51.152279478753,0,0,0.539528878373926,0.460471121626074,23.5541475053118,0,0
3,2017,2017Q4,92,10.3520827408407,6.84574233568011,22.8573986917762,0,0,0.516297962753191,0.483702037246809,11.0561703133747,0,0
3,2018,2018Q1,90,8.90175660547347,6.22724135017422,19.2277942678227,0,0,0.488429649480166,0.511570350519834,9.83636945331332,0,0
3,2018,2018Q2,91,14.1453383872085,11.5447244833598,30.8934190376634,0,0,0.432352605802864,0.567647394197136,17.5365688145698,0,0
3,2018,2018Q3,92,40.4951072913363,34.924799554294,89.4131968992705,0,0,0.459830520025772,0.540169479974228,48.2982800719123,0,0
3,2018,2018Q4,92,9.13264477717936,8.04023737824712,20.164879668012,0,0,0.423451019468865,0.576548980531135,11.6260408151254,0,0
3,2019,2019Q1,90,12.5265944564319,10.4106768769036,27.057444025893,0,0,0.441150746674978,0.558849253325022,15.1210323907539,0,0
3,2019,2019Q2,91,31.7613042408212,14.8363079735863,69.3666884619535,0,0,0.611227323290755,0.388772676709245,26.9678731478099,0,0
3,2019,2019Q3,92,28.6649879386547,21.3968176924744,63.2922933685496,0,0,0.454716970145812,0.545283029854188,34.5122134944229,0,0
3,2019,2019Q4,92,8.28375173582634,7.00300768268389,18.2905238327046,0,0,0.390862188144203,0.609137811855797,11.14144966515,0,0
3,2020,2020Q1,91,12.3386996535724,7.82283135619007,26.9477200434022,0,0,0.489519542588797,0.510480457411203,13.756284453945,0,0
3,2020,2020Q2,91,13.4274477433106,10.1654321206947,29.3255458713903,0,0,0.453638066987214,0.546361933012786,16.0223619289479,0,0
3,2020,2020Q3,92,19.9906133683964,17.2375905599761,44.1392743174191,0,0,0.412857825697029,0.587142174302971,25.9160294948848,0,0
3,2020,2020Q4,92,14.7710332666789,14.0104292796321,32.614441452827,0,0,0.403415158511393,0.596584841488607,19.4572813843742,0,0
3,2021,2021Q1,90,9.40137978176542,8.95312686388369,20.3069803286133,0,0,0.240710310310302,0.759289689689698,15.4188807922476,0,0
3,2021,2021Q2,91,4.01678916137318,3.95992755277384,8.77266752843902,0,0,0.366879970732589,0.633120029267411,5.55415152235858,0,0
3,2021,2021Q3,92,6.42456232281532,4.14110178356474,14.1854336087762,0,0,0.518711541433083,0.481288458566917,6.82728547567125,0,0
3,2021,2021Q4,92,2.36788049381927,2.16723055951196,5.22828013035294,0,0,0.351674108818158,0.648325891181842,3.38962937485939,0,0
3,2022,2022Q1,90,1.6708614260603,1.42132181610587,3.60906068029026,0,0,0.36180764518895,0.63819235481105,2.30327493421041,0,0
3,2022,2022Q2,91,3.30737129740852,2.51925808406877,7.2232989135402,0,0,0.454536134737778,0.545463865262222,3.94004854532405,0,0
3,2022,2022Q3,92,4.60837089364404,4.81343728466027,10.175282933166,1.61885564614621,37.9219421455974,0.153515502624969,0.846484497375031,8.61321925932979,1.37033620795081,32.100336136601
3,2022,2022Q4,92,1.71642462182605,1.63442690580884,3.78986556499191,0.00637082671517468,19.2969692650845,0.167145716061805,0.832854283938195,3.15640577135336,0.00530597032196113,16.0715635194493
3,2023,2023Q1,90,1.80363426489935,1.82355998777146,3.89585001218261,0,21.5739752235341,0.129946239204574,0.870053760795426,3.38959895459438,0,18.7705182785432
3,2023,2023Q2,91,2.39190126258182,2.19602546434547,5.22391235747869,0.0222556968051168,29.6193694719225,0.243680304523221,0.756319695476779,3.95094780340566,0.0168324218302695,22.4017124992186
3,2023,2023Q3,92,4.63923039302815,4.84483509108683,10.2434207078062,0.530644512351219,55.3094941013677,0.147805537078292,0.852194462921708,8.72938640856997,0.452212315205499,47.1344446201865
3,2023,2023Q4,92,1.72120848275531,1.63165451204247,3.80042832992373,0,27.77336243069,0.170733002641888,0.829266997358113,3.15156978983056,0,23.0315328694369
3,2024,2024Q1,91,1.80010403318549,1.82788648040586,3.93142720847712,0,30.6091079985287,0.130199688983165,0.869800311016835,3.41955660867345,0,26.6238116570682
3,2024,2024Q2,91,2.4130713529126,2.22477599681896,5.27014783476113,0,40.9153433627025,0.244287037483623,0.755712962516377,3.9827190331066,0,30.9202553450027
3,2024,2024Q3,92,4.63249753112835,4.82318954133875,10.2285545487314,0.0376985944502812,74.2323882581464,0.149150150023864,0.850849849976136,8.70296410326084,0.032075843432333,63.1606164128141
