Zona,Year,Quarter,WPD_q_mean,WPD_q_sd,FNRR_q,coh_q
1,2024,2024Q2,1.47299611017723,0.199932268535042,0.119510357454118,0.880489642545882
1,2024,2024Q3,1.10985972854057,0.153302689618422,0.121364194670907,0.878635805329093
1,2024,2024Q4,1.01040165918189,0.116314609183328,0.103233273938693,0.896766726061307
1,2025,2025Q1,1.27204446803875,0.232456618008721,0.154507444470788,0.845492555529212
1,2025,2025Q2,1.47419580066289,0.199233807802511,0.119057178619671,0.880942821380329
1,2025,2025Q3,1.10994602155999,0.153885233757293,0.121760902106081,0.878239097893919
1,2025,2025Q4,1.00978841526916,0.115195050807877,0.102397105629985,0.897602894370015
1,2026,2026Q1,1.27004191280114,0.229179782817499,0.152865839313332,0.847134160686668
1,2026,2026Q2,1.47561481351709,0.201243824395802,0.120012396898453,0.879987603101547
1,2026,2026Q3,1.11116516974042,0.155129964878557,0.122506958004885,0.877493041995115
1,2026,2026Q4,1.0107662516878,0.115407929977603,0.10247786874934,0.89752213125066
1,2027,2027Q1,1.2664462377846,0.227294898412486,0.152164851663091,0.847835148336909
1,2027,2027Q2,1.47701446406318,0.203027216740397,0.120846535571241,0.879153464428759
1,2027,2027Q3,1.11379005347524,0.154052204123915,0.12150739037176,0.87849260962824
1,2027,2027Q4,1.01018281230107,0.117249617074377,0.103997023696868,0.896002976303132
1,2028,2028Q1,1.27105819635075,0.235288514722745,0.156198113616929,0.843801886383071
1,2028,2028Q2,1.47283353645183,0.19780970520269,0.118403319314775,0.881596680685225
1,2028,2028Q3,1.10903617830381,0.152658799995942,0.120995012757889,0.879004987242111
1,2028,2028Q4,1.01090445658756,0.116402153817742,0.103256871505341,0.896743128494659
2,2017,2017Q1,6.29847920766654,3.70568488278694,0.370414244436785,0.629585755563215
2,2017,2017Q2,12.2176461560846,8.05591902463207,0.397360747989924,0.602639252010076
2,2017,2017Q3,22.8062507930438,13.6773442721246,0.374890255406398,0.625109744593602
2,2017,2017Q4,9.91725077286904,8.02559529386605,0.447286638029237,0.552713361970763
2,2018,2018Q1,11.4155196479005,10.711581976574,0.484093314992779,0.515906685007221
2,2018,2018Q2,12.1705078362523,8.09461722918045,0.399435838813936,0.600564161186065
2,2018,2018Q3,19.2389223990779,10.1523839961326,0.345421324918955,0.654578675081045
2,2018,2018Q4,7.32091995124926,6.07449430861336,0.453475658965971,0.546524341034029
2,2019,2019Q1,9.87402514037,6.63677139371863,0.401965549028248,0.598034450971752
2,2019,2019Q2,11.8470038107344,14.1418952482425,0.544151378484721,0.455848621515279
2,2019,2019Q3,85.8647924003451,67.3706400962752,0.439654451967309,0.560345548032691
2,2019,2019Q4,30.5821546323835,29.9639061788896,0.494894395727734,0.505105604272266
2,2020,2020Q1,39.8134648840675,46.6022112335368,0.539279599804499,0.460720400195502
2,2020,2020Q2,18.669697296979,25.511709771025,0.577430902817499,0.422569097182501
2,2020,2020Q3,9.13196020810973,6.04394903167777,0.39825943448792,0.60174056551208
2,2020,2020Q4,6.64045876246282,5.15963404744121,0.437253683556678,0.562746316443322
2,2021,2021Q1,4.40332107708849,4.46217591971445,0.503319319979872,0.496680680020129
2,2021,2021Q2,7.60870225476825,6.38951945078016,0.456452225517158,0.543547774482842
2,2021,2021Q3,14.8656295399385,8.41096547392542,0.361348619457258,0.638651380542742
2,2021,2021Q4,6.35376962525135,5.15289254183,0.447818182806441,0.552181817193559
2,2022,2022Q1,3.96863149345389,3.41074505253474,0.462199622322945,0.537800377677055
2,2022,2022Q2,8.90395913381569,8.90646700069987,0.500070404460433,0.499929595539567
2,2022,2022Q3,11.2199487046341,2.01211264684397,0.152063430889338,0.847936569110662
2,2022,2022Q4,4.53337074982038,1.2543146316475,0.216721288213731,0.783278711786269
2,2023,2023Q1,4.24829124081547,0.398720295354815,0.0858014429814414,0.914198557018559
2,2023,2023Q2,5.24502290304907,0.908682095488038,0.147664227600129,0.852335772399871
2,2023,2023Q3,11.2188947369932,2.01212488856388,0.152076328620756,0.847923671379244
2,2023,2023Q4,4.5479263438703,1.2781264315483,0.219381196981428,0.780618803018572
2,2024,2024Q1,4.24482278659241,0.396976151260951,0.0855220479335402,0.91447795206646
2,2024,2024Q2,5.27360428473708,0.921942738074376,0.148807318333614,0.851192681666386
2,2024,2024Q3,11.2299701438487,1.99389656750163,0.150780147064718,0.849219852935283
2,2024,2024Q4,4.51274903385322,1.21976285918238,0.212779821820215,0.787220178179785
2,2025,2025Q1,4.24458260541068,0.397961401940208,0.0857205448801531,0.914279455119847
2,2025,2025Q2,5.26441672395858,0.920476962031727,0.148826642585101,0.851173357414899
2,2025,2025Q3,11.2249784516201,2.00229710827974,0.15137638126705,0.84862361873295
2,2025,2025Q4,4.525697237146,1.24096877602129,0.215196921962834,0.784803078037166
2,2026,2026Q1,4.24427156512877,0.397989386391328,0.0857317997733425,0.914268200226658
2,2026,2026Q2,5.25425647965475,0.911163361533766,0.147786101353013,0.852213898646987
2,2026,2026Q3,11.2256174363849,2.00117039957519,0.151296779262955,0.848703220737045
2,2026,2026Q4,4.53569559966361,1.25191435777203,0.216309386254275,0.783690613745725
2,2027,2027Q1,4.24550525235369,0.396356638539376,0.0853874259630589,0.914612574036941
2,2027,2027Q2,5.24541356776016,0.911738386846897,0.148077941484731,0.85192205851527
