Zona,Year,horas,WPD_mean,WPD_p50,WPD_p90,WPD_PI_low90,WPD_PI_high90,E_free_kWh_m2,E_PI_low90,E_PI_high90,FNRR,coh,E_usable_kWh_m2,E_usable_PI_low90,E_usable_PI_high90
2,2017,8759,12.060007523086,8.34368780761071,26.6943585916539,12.060007523086,12.060007523086,105.63360589471,105.63360589471,105.63360589471,0.0584277668044517,0.941572233195548,99.4616702027805,99.4616702027805,99.4616702027805
2,2018,8760,12.0949546411706,8.19391945240815,27.8617729721809,12.0949546411706,12.0949546411706,105.951802656655,105.951802656655,105.951802656655,0.0549934849197382,0.945006515080262,100.125143795037,100.125143795037,100.125143795037
2,2019,8760,35.0773176218136,11.9219086024631,97.6273040876848,35.0773176218136,35.0773176218136,307.277302367087,307.277302367087,307.277302367087,0.0283894124527644,0.971610587547236,298.553880292815,298.553880292815,298.553880292815
2,2020,8784,17.9725671814318,5.3555298526641,49.2291061846278,17.9725671814318,17.9725671814318,157.871030121697,157.871030121697,157.871030121697,0.0424532697989289,0.957546730201071,151.168888686505,151.168888686505,151.168888686505
2,2021,8760,8.1352440020989,4.72990942289156,20.5749274488792,8.1352440020989,8.1352440020989,71.2647374583863,71.2647374583863,71.2647374583863,0.0495796877062672,0.950420312293733,67.7314540307304,67.7314540307304,67.7314540307304
2,2022,8760,7.79577384563015,6.2915798837693,15.5224926138374,3.18635511100674,50340512822330.7,68.2909788877202,27.9124707724191,440982892323617,0.0291988067047868,0.970801193295213,66.2969637954969,27.0974599336822,428106718090542
2,2023,8760,9.12677825852056,8.35831684733466,15.3695121886375,0,1.83975808309107e+24,79.9505775446402,0,1.61162808078778e+25,0.0430994594266,0.9569005405734,76.5047508716217,0,1.54216778170909e+25
2,2024,8784,9.12677825852056,8.35831684733466,15.3695121886375,0,3.24609575354986e+31,80.1696202228447,0,2.8513705099182e+32,0.0430991565044304,0.95690084349557,76.7143772139595,0,2.72847884605912e+32
2,2025,8760,9.12677825852056,8.35831684733466,15.3695121886375,0,2.35602153081117e+37,79.9505775446402,0,2.06387486099058e+38,0.0430994594266,0.9569005405734,76.5047508716217,0,1.97492297015774e+38
2,2026,8760,9.12677825852056,8.35831684733466,15.3695121886375,0,2.70371473329213e+42,79.9505775446402,0,2.36845410636391e+43,0.0430994594266,0.9569005405734,76.5047508716217,0,2.26637501470291e+43
2,2027,8760,9.12677825852056,8.35831684733466,15.3695121886375,0,8.91267428834559e+46,79.9505775446402,0,7.80750267659074e+47,0.0430994594266,0.9569005405734,76.5047508716217,0,7.47100353175794e+47
2,2028,8784,9.12677825852056,8.35831684733466,15.3695121886375,0,1.20082482168813e+51,80.1696202228447,0,1.05480452337086e+52,0.0430991565044304,0.95690084349557,76.7143772139595,0,1.00934333813651e+52
3,2017,8759,12.4201516618781,6.63165038158367,28.193379439999,12.4201516618781,12.4201516618781,108.78810840639,108.78810840639,108.78810840639,0.0638430297915338,0.936156970208466,101.842745960436,101.842745960436,101.842745960436
3,2018,8760,17.6252014751287,9.71389158306269,40.1978770628733,17.6252014751287,17.6252014751287,154.396764922127,154.396764922127,154.396764922127,0.0569201060277265,0.943079893972273,145.608484692422,145.608484692422,145.608484692422
3,2019,8760,20.019486669627,10.0631208646938,44.5901475827484,20.019486669627,20.019486669627,175.370703225933,175.370703225933,175.370703225933,0.0550097390031626,0.944990260996837,165.723606612673,165.723606612673,165.723606612673
3,2020,8784,14.6610134049451,7.02468397273011,40.1482515914917,14.6610134049451,14.6610134049451,128.782341749038,128.782341749038,128.782341749038,0.0670405442080106,0.932959455791989,120.1487034738,120.1487034738,120.1487034738
3,2021,8760,6.15000714553752,2.93907163035156,16.669470527021,6.15000714553752,6.15000714553752,53.8740625949087,53.8740625949087,53.8740625949087,0.0322965155569552,0.967703484443045,52.1341180941958,52.1341180941958,52.1341180941958
3,2022,8760,2.75806859090483,1.94289804545532,5.84114225554429,1.28117836507415,42625348983156.2,24.1606808563263,11.2231224780496,373398057092448,0.0494666012911866,0.950533398708813,22.9655340894828,10.6679527531858,354927324279352
3,2023,8760,2.92312915068037,2.38531070006491,5.84114225554429,0,2.7923269242845e+24,25.6066113599601,0,2.44607838567322e+25,0.046256451863963,0.953743548136037,24.4221403741889,0,2.33293147857085e+25
3,2024,8784,2.92312915068037,2.38531070006491,5.84114225554429,0,7.37724058987923e+31,25.6767664595764,0,6.48016813414992e+32,0.0462562225356949,0.953743777464305,24.4890562362252,0,6.18042003486796e+32
3,2025,8760,2.92312915068037,2.38531070006491,5.84114225554429,0,7.4285403161904e+37,25.6066113599601,0,6.50740131698279e+38,0.046256451863963,0.953743548136037,24.4221403741889,0,6.20639202120429e+38
3,2026,8760,2.92312915068037,2.38531070006491,5.84114225554429,0,1.13159105390645e+43,25.6066113599601,0,9.9127376322205e+43,0.046256451863963,0.953743548136037,24.4221403741889,0,9.4542095610956e+43
3,2027,8760,2.92312915068037,2.38531070006491,5.84114225554429,0,4.80514037439793e+47,25.6066113599601,0,4.20930296797259e+48,0.046256451863963,0.953743548136037,24.4221403741889,0,4.01459554785373e+48
3,2028,8784,2.92312915068037,2.38531070006491,5.84114225554429,0,8.1622431998807e+51,25.6767664595764,0,7.16971442677521e+52,0.0462562225356949,0.953743777464305,24.4890562362252,0,6.83807052073291e+52
4,2019,6623,4.58945114441056,4.14406111040048,7.45566108550823,4.58945114441056,4.58945114441056,30.3959349294312,30.3959349294312,30.3959349294312,0.0116056648747613,0.988394335125239,30.0431698950851,30.0431698950851,30.0431698950851
4,2020,8784,17.6349651179747,14.9754120004119,28.5292382218468,17.6349651179747,17.6349651179747,154.90553359629,154.90553359629,154.90553359629,0.0523257505401623,0.947674249459838,146.799985288039,146.799985288039,146.799985288039
4,2021,8760,13.2705970075112,6.10949006105639,33.0756598240582,13.2705970075112,13.2705970075112,116.250429785798,116.250429785798,116.250429785798,0.103701037289267,0.896298962710733,104.195139631687,104.195139631687,104.195139631687
4,2022,8760,8.85645186690381,11.382542721057,11.3826002358372,3.10953595660418,10395280257409.1,77.5825183540773,27.2395349798526,91062655054903.8,0.0622245432068643,0.937775456793136,72.7549815886567,25.5445673585639,85396322940908.2
4,2023,8760,11.3825649907087,11.3825612562272,11.3825924943173,0,1.00763088366937e+23,99.7112693186085,0,8.82684654094371e+23,0.221504342231723,0.778495657768277,77.6247901950999,0,6.87166170391161e+23
4,2024,8784,11.3825649907087,11.3825612562272,11.3825924943173,0,7.09697577313745e+29,99.9844508783855,0,6.23398351912394e+30,0.221504323157678,0.778495676842322,77.8374627602766,0,4.85312921914427e+30
4,2025,8760,11.3825649907087,11.3825612562272,11.3825924943173,0,2.44574115915717e+35,99.7112693186085,0,2.14246925542168e+36,0.221504342231723,0.778495657768277,77.6247901950999,0,1.66790301224781e+36
4,2026,8760,11.3825649907087,11.3825612562272,11.3825924943173,0,1.47349738341449e+40,99.7112693186085,0,1.29078370787109e+41,0.221504342231723,0.778495657768277,77.6247901950999,0,1.00486951169568e+41
4,2027,8760,11.3825649907087,11.3825612562272,11.3825924943173,0,2.73024662950589e+44,99.7112693186085,0,2.39169604744716e+45,0.221504342231723,0.778495657768277,77.6247901950999,0,1.86192498763916e+45
4,2028,8784,11.3825649907087,11.3825612562272,11.3825924943173,0,2.17128996358339e+48,99.9844508783855,0,1.90726110401165e+49,0.221504323157678,0.778495676842322,77.8374627602766,0,1.48479452408259e+49
