Zona,Year,horas_teo,horas_obs,coverage,WPD_mean,WPD_p50,WPD_p90,E_free,E_usable,FNRR,coh,E_free_lo,E_free_hi,E_usable_lo,E_usable_hi
1,2028,8784,0,1,3.99023231342669,3.60517358538823,4.56782040548437,35.05020064114,31.1752264587721,0.110554978616003,0.889445021383997,16.5897183426358,40.7755299251236,14.7556423860202,36.2675920861954
2,2017,8760,3811,0.435045662100457,8.0120412692202,3.60517358538823,19.751745921739,70.185481518369,35.2447114668487,0.476236630680873,0.523763369319127,,,,
2,2018,8760,4184,0.477625570776256,7.95848357613033,3.60517358538823,19.7423624684186,69.7163161269017,35.2045155429602,0.479116880979838,0.520883119020163,,,,
2,2019,8760,4286,0.489269406392694,19.0009183149914,3.60517358538823,53.6261876812264,166.448044439324,62.076374873075,0.554197919994118,0.445802080005882,,,,
2,2020,8784,3643,0.414731329690346,11.4035197956911,3.60517358538823,32.9845661190867,100.168517885351,43.495563328187,0.513242736772744,0.486757263227256,,,,
2,2021,8760,3551,0.405365296803653,6.19989124157983,3.60517358538823,13.7950664769975,54.3110472762394,30.9885485240645,0.408042696379306,0.591957303620694,,,,
2,2022,8760,1118,0.631735159817352,5.99520186720509,3.60517358538823,11.5470562480071,52.1470146778732,32.6185388504663,0.374867025140643,0.625132974859357,,,,
2,2023,8760,0,1,6.43059546456132,3.60517358538823,10.668728283321,68.9843347094064,44.749877647622,0.351214236468874,0.648785763531125,46.6190799767661,129.723333506492,30.2457953978448,84.1626519768121
2,2024,8784,0,1,6.06353276476128,3.60517358538823,9.75107153382085,69.9902016699895,46.885609665304,0.330191430524573,0.669808569475427,46.9791464801608,130.411241795135,31.467034899053,87.3505673103135
2,2025,8760,0,1,5.78325467395522,3.60517358538823,9.05037630680571,70.0301371445087,48.4922059638964,0.307953714735349,0.692046285264651,46.6448179600282,130.735366575167,32.2803729960834,90.4749247910569
2,2026,8760,0,1,5.49967175493694,3.60517358538823,8.34141900925999,70.0317047643748,50.1291024446817,0.284586210701159,0.715413789298841,47.9609350263593,128.03011095963,34.3119142655232,91.59450682598
2,2027,8760,0,1,5.2462794326966,3.60517358538823,7.70793820365916,70.0317662719027,51.9050022094778,0.259274942492079,0.740725057507921,47.9408725103568,132.292255000971,35.5110055472139,97.9921881934465
2,2028,8784,0,1,5.00274284920297,3.60517358538823,7.09909674492508,70.0317686851851,53.7988656802708,0.231943244092306,0.768056755907694,47.9610095735687,132.647541734746,36.836777423133,101.88084058392
3,2017,8760,3891,0.444178082191781,8.01770741821247,3.60517358538823,17.7505189357133,70.2351169835413,36.6869435761889,0.454481527524632,0.545518472475368,,,,
3,2018,8760,4195,0.478881278538813,10.4720357946175,3.60517358538823,25.3535368540474,91.7350335608497,42.3994456749014,0.49479207536875,0.50520792463125,,,,
3,2019,8760,4323,0.493493150684932,11.9356952666908,3.60517358538823,28.7523945734681,104.556690536211,46.6098751514567,0.527911711026435,0.472088288973565,,,,
3,2020,8784,4248,0.483606557377049,9.25879823537288,3.60517358538823,26.7350610666067,81.3292836995154,37.4761892586256,0.534182402104234,0.465817597895766,,,,
3,2021,8760,2895,0.330479452054795,4.16075562345435,3.60517358538823,8.18915120462236,36.4482192614601,25.3827911179773,0.284319488463176,0.715680511536824,,,,
3,2022,8760,1396,0.663470319634703,4.45061566990352,3.60517358538823,7.10314806756867,33.6552870852301,25.0600747869146,0.237622985589206,0.762377014410794,,,,
3,2023,8760,0,1,4.2816402337186,3.60517358538823,5.29634020621416,21.0222367697854,17.7972811805563,0.134956543477365,0.865043456522636,10.3371277577719,74.3066924025866,8.9420647260991,64.2785180386978
3,2024,8784,0,1,3.88742089742046,3.60517358538823,4.31079186546881,15.515844543095,13.9291695426268,0.0856916608317913,0.914308339168209,5.25759906287561,98.2316008681696,4.80706666719013,89.8139718436106
