Zona,Year,days,WPD_mean,WPD_p50,E_free_kWh_m2,E_free_low_kWh_m2,E_free_high_kWh_m2,FNRR_a,coh_a,E_usable_kWh_m2,E_usable_low_kWh_m2,E_usable_high_kWh_m2
3,2022,365,2.83076576392562,2.03601657803692,24.7975080919884,1.62522647286139,57.2189114106819,0.407922196767261,0.592077803232739,14.6820541167506,0.962260519807463,33.8780473714052
3,2023,365,2.64424787755607,2.02592793745958,23.1636114073912,0.552900209156336,134.276201227514,0.334707399173326,0.665292600826675,15.4105792777617,0.367840418147231,89.3329631437789
3,2024,366,2.64268801341864,2.02413697786949,23.2133715098693,0.0376985944502812,182.876730924892,0.334591384826353,0.665408615173647,15.4463773898935,0.0250849695271546,121.687752272216
3,2025,365,2.64380576361177,2.01548277229495,23.1597384892391,0,236.571950298501,0.334778946623983,0.665221053376017,15.4063456337247,0,157.372641976787
3,2026,365,2.64397563122899,2.01315788615792,23.161226529566,0,297.48188333473,0.334750240641327,0.665249759358674,15.4080003752455,0,197.899751301994
3,2027,365,2.64372824331934,2.0327429240707,23.1590594114774,0,365.943795457583,0.334793341140405,0.665206658859595,15.4055605334397,0,243.428249506738
3,2028,366,2.64212770195733,2.02719588172756,23.2084497339932,0,443.86919641461,0.334684520734064,0.665315479265936,15.4409408577911,0,295.313047143972
4,2019,276,3.41271487730696,2.95231580626899,22.6058233472813,0,0,0.435290701791137,0.564709298208863,12.7657186378768,0,0
4,2020,366,16.751853938665,13.6880596111378,147.148284997233,0,0,0.342734940455764,0.657265059544236,96.7154263005388,0,0
4,2021,365,13.0172937361464,6.70777042707355,114.031493128643,0,0,0.538622717681004,0.461377282318996,52.6115403984706,0,0
4,2022,365,6.86328949718908,6.54931665417053,60.1224159953763,8.40007868148814,120.05957634921,0.385227834811796,0.614772165188204,36.9615878578234,5.16413455876973,73.809285703782
4,2023,365,6.34188110824575,5.4622755084985,55.5548785082328,1.66702746963989,418.845981381171,0.261255220423265,0.738744779576735,41.0408764779767,1.23150784060748,309.420282192035
4,2024,366,6.33557101897093,5.45429165613755,55.6516558306407,0,783.896096560051,0.261460872843694,0.738539127156306,41.1009253219645,0,578.937938934696
4,2025,365,6.34164043213057,5.42403451418695,55.5527701854638,0,1256.00323838212,0.261281596077028,0.738718403922972,41.0378537249055,0,927.832707579721
