Zona,Year,Q,YQ,horas_teo,horas_obs,coverage,WPD_p50,WPD_p90,WPD_mean,E_free,E_usable,FNRR,coh,E_free_lo,E_free_hi
1,2027,1,2027 Q1,2160,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.61890179700164,7.66603929314069,0.110554978616003,0.889445021383997,2.2679006779436,14.6574208676216
1,2027,2,2027 Q2,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.28169692403118,14.7269485610707
1,2027,3,2027 Q3,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.28357121871832,14.7359573457914
1,2027,4,2027 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.28079276054068,14.7236013426038
1,2028,1,2028 Q1,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.27982300305718,14.7201665132945
1,2028,2,2028 Q2,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.2728574734919,14.6875907442403
1,2028,3,2028 Q3,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.27193326396195,14.6831665353649
1,2028,4,2028 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.27319118125772,14.6894190632045
2,2017,1,2017 Q1,2160,795,0.368055555555556,3.60517358538823,10.8776823132236,5.003297073201,10.8071216781142,6.66936710169341,0.382872951712966,0.617127048287034,,
2,2017,2,2017 Q2,2184,1023,0.468406593406593,3.60517358538823,18.9027149097083,7.7429849251041,16.9106790764273,8.63487099727017,0.48938354525888,0.51061645474112,,
2,2017,3,2017 Q3,2208,949,0.429800724637681,3.60517358538823,32.6404942772703,12.499827062849,27.5996181547706,11.9888582364117,0.565615068687482,0.434384931312518,,
2,2017,4,2017 Q4,2208,1044,0.472826086956522,3.60517358538823,16.383949162525,6.73372400772504,14.8680626090569,7.95161513147337,0.465188213114624,0.534811786885376,,
2,2018,1,2018 Q1,2160,1019,0.471759259259259,3.60517358538823,17.9777416355701,7.33078347297979,15.8344923016364,8.2160834757421,0.481127445122251,0.518872554877749,,
2,2018,2,2018 Q2,2184,1006,0.460622710622711,3.60517358538823,19.716168560368,7.60398800202226,16.6071097964166,8.36778870104334,0.496132150408924,0.503867849591076,,
2,2018,3,2018 Q3,2208,1057,0.478713768115942,3.60517358538823,30.3709351730666,11.4191590991336,25.2135032908869,11.1743724831731,0.556810001598949,0.443189998401051,,
